Issuer,ISIN,currency,Moody__Rating,country,annc_date,amt,yield_issue,coupon,ROA,at,moody_21,leverage,investment_grade,sic_str,industry_sector,ROA_impute,at_impute,leverage_impute,ROA_missing,at_missing,leverage_missing,issue_dt1,mat_dt1,issue_year,duration,amt_log,at_log,greenid,country_AS,country_AU,country_AZ,country_BA,country_BE,country_BH,country_BL,country_BR,country_BS,country_BU,country_BV,country_CA,country_CB,country_CC,country_CE,country_CH,country_CI,country_CO,country_CY,country_DN,country_EA,country_EC,country_FN,country_FR,country_GA,country_GE,country_GG,country_GR,country_HK,country_HU,country_IC,country_ID,country_IM,country_IN,country_IR,country_IS,country_IT,country_JE,country_JO,country_JP,country_KU,country_KZ,country_LE,country_LI,country_LS,country_LV,country_LX,country_LY,country_MA,country_MI,country_MO,country_MT,country_MV,country_MX,country_NI,country_NO,country_NT,country_NZ,country_OM,country_PA,country_PE,country_PH,country_PL,country_PO,country_PR,country_QA,country_RU,country_SA,country_SD,country_SG,country_SK,country_SL,country_SP,country_SV,country_SW,country_SZ,country_TG,country_TH,country_TK,country_TW,country_UA,country_UE,country_UK,country_UR,country_US,country_VT,country_WG,industry_sector_Educational Services,"industry_sector_Engineering, Management, Research","industry_sector_Finance, Insurance, Real Estate",industry_sector_Investment & Holding Companies,industry_sector_Legal Services,industry_sector_Manufacturing,industry_sector_Other,industry_sector_Public Administration,industry_sector_Real Estate,industry_sector_Retail Trade,industry_sector_Services,industry_sector_Transportation & Utilities,industry_sector_Wholesale Trade,propensity_score
Kiwi Property Group Ltd,NZKPGD0050L3,NZ,NR,NZ,2021-07-09,104.925,2.85,2.85,,3594.5,,,0,6798.0,Investment & Holding Companies,3.16,3594.5,46.791151967825336,1,0,1,2021-07-19,2028-07-19,2021,7.005479452054795,4.653245809219655,8.187160178423927,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.36767896075610995
Mercury NZ Ltd,NZMCYDG003C8,NZ,NR,NZ,2020-09-04,134.4,1.56,1.56,2.22,9660.0,,23.436585475665208,0,4911.0,Transportation & Utilities,2.22,9660.0,23.436585475665208,0,0,0,2020-09-14,2027-09-14,2020,7.002739726027397,4.900820428089049,9.175748927206564,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.2604110569048006
Mercury NZ Ltd,NZMCYDG004C6,NZ,NR,NZ,2021-03-19,143.26,2.16,2.16,2.22,9660.0,,23.436585475665208,0,4911.0,Transportation & Utilities,2.22,9660.0,23.436585475665208,0,0,0,2021-03-29,2026-09-29,2021,5.506849315068493,4.964661161186305,9.175748927206564,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.23252872537998537
Mercury NZ Ltd,NZMCYDT233C6,NZ,NR,NZ,2020-09-29,65.86,1.917,1.917,2.22,9660.0,,23.436585475665208,0,4911.0,Transportation & Utilities,2.22,9660.0,23.436585475665208,0,0,0,2020-10-09,2030-10-09,2020,10.005479452054795,4.187531276948218,9.175748927206564,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.23676490793662813
Precinct Properties NZ Ltd,NZPCTDT003C7,NZ,NR,NZ,2021-05-21,107.55,2.85,2.85,,3839.2,,,0,6512.0,Real Estate,2.91,3839.2,44.79158581075836,1,0,1,2021-05-28,2027-05-28,2021,6.002739726027397,4.677955855713739,8.253019290544035,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2357140149857117
Genesis Energy Ltd,NZGNEDT008C1,NZ,NR,NZ,2020-07-15,32.85,1.32,1.32,,5241.9,,,0,4911.0,Transportation & Utilities,2.94,5241.9,46.736893510289406,1,0,1,2020-07-20,2022-07-20,2020,2.0,3.4919517449306197,8.564439307013103,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.24480128539633297
Investore Property Ltd,NZIPLDT002C1,NZ,NR,NZ,2020-08-21,81.738,2.4,2.4,8.82,1238.7,,43.65655702691158,0,6798.0,Investment & Holding Companies,8.82,1238.7,43.65655702691158,0,0,0,2020-08-31,2027-08-31,2020,7.002739726027397,4.403519010011979,7.121817721560154,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.3178794660146669
Investore Property Ltd,NZIPLDT002C1,NZ,NR,NZ,2020-08-21,81.738,2.4,2.4,8.82,1238.7,,43.65655702691158,0,6798.0,Investment & Holding Companies,8.82,1238.7,43.65655702691158,0,0,0,2020-08-31,2027-08-31,2020,7.002739726027397,4.403519010011979,7.121817721560154,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.3178794660146669
Contact Energy Ltd,NZCEND0030L2,NZ,NR,NZ,2015-08-28,96.78,4.4,4.4,,5166.0,,29.311432453416142,0,4911.0,Transportation & Utilities,2.94,5166.0,29.311432453416142,1,0,0,2015-09-04,2021-11-15,2015,6.2027397260273975,4.572440361365173,8.549853973655786,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.12455723746822772
Investore Property Ltd,NZIPLDT001C3,NZ,NR,NZ,2018-03-21,72.26,4.4,4.4,7.13,1238.7,,47.41563434429731,0,6798.0,Investment & Holding Companies,7.13,1238.7,47.41563434429731,0,0,0,2018-04-18,2024-04-18,2018,6.005479452054795,4.280270725719494,7.121817721560154,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.22368546404944098
